drug,extracted_class
finaste,5-alpha reductase inhibitor
finast,5-alpha reductase inhibitor
finasteride,5-alpha reductase inhibitor
propecia,5-alpha reductase inhibitor
fin,5-alpha reductase inhibitor
botox,acetylcholine release inhibitor
botulinum toxin type a,acetylcholine release inhibitor
dactinomycin,actinomycin
adenosine,adenosine receptor agonist
adenosine liver flush,adenosine receptor agonist
cosy,adrenocorticotropic hormone
cosyntropin,adrenocorticotropic hormone
disulfiram,aldehyde dehydrogenase inhibitor
eplerenone,aldosterone antagonist
spironolactone,aldosterone antagonist
aldactone,aldosterone antagonist
colchicine,alkaloid
colcrys,alkaloid
inv-cyclophosphamide,alkylating drug
temozolomide suspension,alkylating drug
*nf* temozolomide,alkylating drug
cyclophosphamide,alkylating drug
thiotepa,alkylating drug
mitomycin,alkylating drug
temozolomide,alkylating drug
lurbinectedin,alkylating drug
streptozocin,alkylating drug
bendamustine,alkylating drug
temozolo,alkylating drug
cyclopho,alkylating drug
dacarbazine,alkylating drug
cyclophos,alkylating drug
chlorambucil,alkylating drug
ifosfamide,alkylating drug
cycloph,alkylating drug
busulfan,alkylating drug
terbinafine hcl,allylamine antifungal
phenylephrine 2.5 % ophth soln,alpha-1 adrenergic agonist
phenylephrine (for priapism),alpha-1 adrenergic agonist
cyclopentolate-phenylephrine,alpha-1 adrenergic agonist
phenylephrine 10 % ophth soln,alpha-1 adrenergic agonist
phenylephrine,alpha-1 adrenergic agonist
brimonidine,alpha-adrenergic agonist
apraclonidine 0.5%,alpha-adrenergic agonist
midodrine 20mg,alpha-adrenergic agonist
epip,alpha-adrenergic agonist
epinephrine auto injector,alpha-adrenergic agonist
brimonidin,alpha-adrenergic agonist
alphagan p,alpha-adrenergic agonist
brimonidine tartrate (bulk),alpha-adrenergic agonist
brimonidine tartrate 0.15% ophth.,alpha-adrenergic agonist
midodrine,alpha-adrenergic agonist
brimonidine ,alpha-adrenergic agonist
epinephri,alpha-adrenergic agonist
epinephrine hcl (pf),alpha-adrenergic agonist
brimonidine 0.2%,alpha-adrenergic agonist
ephedrin,alpha-adrenergic agonist
epinephrine (epipen),alpha-adrenergic agonist
"brimonidine 0,2%",alpha-adrenergic agonist
epinephr,alpha-adrenergic agonist
epinephrine,alpha-adrenergic agonist
epinephrin,alpha-adrenergic agonist
epipen 2-pak,alpha-adrenergic agonist
epin,alpha-adrenergic agonist
midodrine 20 mg,alpha-adrenergic agonist
epinephrine 1 mg/1 ml,alpha-adrenergic agonist
epipen,alpha-adrenergic agonist
epinep,alpha-adrenergic agonist
epinephrine base,alpha-adrenergic agonist
epinephrine 1:1000,alpha-adrenergic agonist
epinephrine hcl,alpha-adrenergic agonist
midodrine 20 mg tid,alpha-adrenergic agonist
epinephrine-sodium chloride,alpha-adrenergic agonist
midodrione 20 mf,alpha-adrenergic agonist
brimonidine tartrate 0.2% ophth.,alpha-adrenergic agonist
epine,alpha-adrenergic agonist
ephedrine sulfate (pressors),alpha-adrenergic agonist
epineph,alpha-adrenergic agonist
epinephrine ,alpha-adrenergic agonist
epi,alpha-adrenergic agonist
brimonidine-timolol,alpha-adrenergic agonist
phenoxybenzamine hcl,alpha-adrenergic blocker
doxazosin,alpha-adrenergic blocker
prazosin,alpha-adrenergic blocker
terazosin,alpha-adrenergic blocker
carvedilol,alpha-adrenergic blocker
phentolamine mesylate,alpha-adrenergic blocker
prazosin hcl,alpha-adrenergic blocker
tamsulosin,alpha-adrenergic blocker
flomax,alpha-adrenergic blocker
acarbose,alpha-glucosidase inhibitor
sucr,aluminum complex
sucral,aluminum complex
sucralfate,aluminum complex
sucralfate enema,aluminum complex
carafate,aluminum complex
xylocaine,amide local anesthetic
bupivacaine ,amide local anesthetic
lidocaine hcl in 0.9 % nacl,amide local anesthetic
lidocaine 2%,amide local anesthetic
lidocaine 2%/epinephrine,amide local anesthetic
lidocaine-prilocaine,amide local anesthetic
"bupivacaine 0.25%-epi 1:200,000 p.f.",amide local anesthetic
lidocaine 1% ,amide local anesthetic
bupivacaine 0.1%,amide local anesthetic
"lidocaine 2%/epi 1:100,000",amide local anesthetic
lidocaine hcl,amide local anesthetic
lidocaine 1%/epinephrine ,amide local anesthetic
lidocaine 1%/epinephrine 1:100000,amide local anesthetic
lidocai,amide local anesthetic
inv-lidocaine-prilocaine cream,amide local anesthetic
lidocaine jelly 2% (glydo),amide local anesthetic
lidocaine j,amide local anesthetic
lidoc,amide local anesthetic
1,amide local anesthetic
bupivacaine 0.75%,amide local anesthetic
lidocaine 1,amide local anesthetic
emla,amide local anesthetic
emla cream,amide local anesthetic
lidocaine 1% pf,amide local anesthetic
lidocaine 5% ointment,amide local anesthetic
lidocaine 2% ,amide local anesthetic
lidocaine 2,amide local anesthetic
lidocaine 1%/,amide local anesthetic
lidocaine 0.5%/epinephrine,amide local anesthetic
inv-bupivacaine 0.25%,amide local anesthetic
lidocaine jel,amide local anesthetic
lidocaine 0.5%/ep,amide local anesthetic
"lidocaine 1%/epinephrine 1:200,000",amide local anesthetic
lidocaine ,amide local anesthetic
mepivacaine 1%,amide local anesthetic
lidocaine 4%,amide local anesthetic
lidocaine 0.5%,amide local anesthetic
lidoca,amide local anesthetic
lidocaine 0.5% mpf,amide local anesthetic
bupivacaine 0.25%,amide local anesthetic
lidocaine 1% p.f.,amide local anesthetic
lidocaine 0.,amide local anesthetic
lidocaine jelly 2%,amide local anesthetic
ropivacaine 0.2%,amide local anesthetic
ropivacaine 0.5%,amide local anesthetic
bupivacaine 0.25%-epinephrine,amide local anesthetic
lidocaine jelly,amide local anesthetic
bupivacaine (pf),amide local anesthetic
lidocain,amide local anesthetic
lidocaine,amide local anesthetic
bupivacaine,amide local anesthetic
lidocaine viscous,amide local anesthetic
lidocaine viscous 2%,amide local anesthetic
gly,amide local anesthetic
lidoderm,amide local anesthetic
lidocaine 1%/epinephrine,amide local anesthetic
lidocaine t,amide local anesthetic
lidocaine-epinephrine,amide local anesthetic
lidocaine 1%,amide local anesthetic
lidocaine 1% (for picc/midline insertions),amide local anesthetic
lid,amide local anesthetic
lidocaine jelly 2% (urojet),amide local anesthetic
lidocaine-epinephrine (pf),amide local anesthetic
alternagel-benadryl-lidocaine visc.,amide local anesthetic
bupivacaine 0.50%-epinephrine,amide local anesthetic
bupivacaine 0.5%,amide local anesthetic
lidocaine 0.5,amide local anesthetic
lidocaine 1.5%/epinephrine p.f.,amide local anesthetic
lido,amide local anesthetic
lidocaine 1% p,amide local anesthetic
mepivacaine 2%,amide local anesthetic
lidocaine 2%/epinephrine p.f.,amide local anesthetic
lidocaine 2% p.f.,amide local anesthetic
lidocaine (pf),amide local anesthetic
lidocaine jelly ,amide local anesthetic
lidocaine p.f.,amide local anesthetic
lidocaine 5% /diltiazem oint,amide local anesthetic
"lidocaine 1%/epinephrine 1:100,000",amide local anesthetic
lidocaine 5% patch,amide local anesthetic
lidocaine topical,amide local anesthetic
lidocaine jell,amide local anesthetic
lidocaine 1%/epinephrine 1:200000,amide local anesthetic
amino acids 4.25%-dextrose 10%,amino acid
amino acids 4.25%-dextrose 5%,amino acid
amino acids 4.25% w/ dextrose 5%,amino acid
neomycin-polymyxin-gramicidin,aminoglycoside antibacterial
neomycin/polymyxin b sulfate,aminoglycoside antibacterial
gentamicin sulfate,aminoglycoside antibacterial
streptomycin sulfate,aminoglycoside antibacterial
neomycin,aminoglycoside antibacterial
tobradex,aminoglycoside antibacterial
neomycin-bacitracin-polymyxin,aminoglycoside antibacterial
genta,aminoglycoside antibacterial
tobramycin 0.3% ophth soln,aminoglycoside antibacterial
gentamicin sulf. ophth. soln,aminoglycoside antibacterial
tobramycin - dosing by pharmacy,aminoglycoside antibacterial
neomycin sulfate,aminoglycoside antibacterial
